City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Gerash,27.6652,54.1371,86.0,16,0,1.79,clear sky
87,Skjervoy,70.0311,20.9714,33.8,80,75,4.61,light snow
88,Kurilsk,45.2333,147.8833,31.59,70,7,12.64,clear sky
89,Port Elizabeth,-33.918,25.5701,59.0,88,0,2.3,clear sky
90,Udachnyy,66.4167,112.4,17.38,80,100,25.93,overcast clouds
91,Minatitlan,17.9833,-94.5167,74.91,93,57,2.68,broken clouds
92,Broome,42.2506,-75.833,37.0,69,90,20.71,overcast clouds
93,Comodoro Rivadavia,-45.8667,-67.5,57.2,58,0,8.05,clear sky
94,Georgetown,5.4112,100.3354,89.6,66,40,10.36,scattered clouds
95,Innisfail,-17.5333,146.0333,73.83,92,100,13.22,overcast clouds
96,Jamestown,42.097,-79.2353,30.99,86,90,9.22,overcast clouds
97,Garoua,9.3,13.4,85.35,40,26,1.74,scattered clouds
98,Izhma,65.0083,53.9113,41.18,89,99,6.2,overcast clouds
99,Tupa,-21.9347,-50.5136,67.53,62,92,5.26,overcast clouds
100,Egvekinot,66.3167,-179.1667,24.84,91,28,1.05,scattered clouds
101,Tiksi,71.6872,128.8694,24.55,94,100,14.34,light snow
102,Poronaysk,49.2167,143.1167,35.26,71,89,9.46,overcast clouds
103,Yar-Sale,66.8333,70.8333,33.85,100,100,15.08,overcast clouds
104,Cherskiy,68.75,161.3,21.31,80,71,6.38,broken clouds
105,Yakeshi,49.2833,120.7333,62.69,39,100,17.18,overcast clouds
106,Omsukchan,62.5333,155.8,20.77,70,100,2.95,overcast clouds
107,Longyearbyen,78.2186,15.6401,17.6,62,40,6.91,scattered clouds
108,Kensington,-33.9167,151.2167,69.01,56,20,10.36,few clouds
109,Coolum Beach,-26.5333,153.1,73.99,73,30,9.89,scattered clouds
110,Puerto Escondido,15.85,-97.0667,80.98,81,44,6.76,scattered clouds
111,Mehamn,71.0357,27.8492,35.6,80,75,11.5,broken clouds
112,Tauramena,5.0183,-72.7492,78.67,61,67,2.55,broken clouds
113,Capinzal,-27.3436,-51.6119,55.58,98,69,1.77,broken clouds
114,Beisfjord,68.3751,17.5988,35.6,75,75,2.3,light snow
115,Butaritari,3.0707,172.7902,82.54,76,15,12.75,light rain
116,Filingue,14.3521,3.3168,85.89,31,24,9.42,few clouds
117,Futog,45.2419,19.707,52.0,71,0,8.05,clear sky
118,Deputatskiy,69.3,139.9,28.9,81,71,3.31,broken clouds
119,Reconquista,-29.15,-59.65,50.5,78,0,4.88,clear sky
120,Waipawa,-41.4122,175.5153,59.0,55,11,13.8,few clouds
121,Kavieng,-2.5744,150.7967,83.89,68,97,4.72,overcast clouds
122,Vardo,70.3705,31.1107,35.6,69,0,8.05,clear sky
123,Rakek,45.8133,14.3111,46.0,75,100,5.99,overcast clouds
124,Half Moon Bay,37.4636,-122.4286,50.0,92,52,5.12,broken clouds
125,Haines Junction,60.7522,-137.5108,39.2,45,0,5.75,clear sky
126,Rundu,-17.9333,19.7667,60.51,43,1,5.44,clear sky
127,Geraldton,-28.7667,114.6,86.0,26,35,12.66,scattered clouds
128,Saldanha,-33.0117,17.9442,59.0,94,10,10.36,clear sky
129,Dhidhdhoo,6.8833,73.1,84.33,71,12,4.63,few clouds
130,Ponta Do Sol,32.6667,-17.1,57.99,80,33,1.99,scattered clouds
131,Tuatapere,-46.1333,167.6833,46.99,62,95,17.0,overcast clouds
132,Hasaki,35.7333,140.8333,66.99,33,20,13.8,few clouds
133,Victoria,22.2855,114.1577,77.0,76,100,5.01,overcast clouds
